Title,Rating
Project Power (2020),6.0
Lovecraft Country (2020),7.5
Lucifer (2016),8.2
Tenet (2020),8.0
Yellowstone (2018),8.5
Cuties (2020),
Teenage Bounty Hunters (2020),7.7
Dirty John (2018),7.2
The Boys (2019),8.7
Game of Thrones (2011),9.3
Dark (2017),8.8
The Legend of Korra (2012),8.4
365 Days (2020),3.3
Ted Lasso (2020),8.5
The 100 (2014),7.7
Khuda Haafiz (2020),7.4
The Office (2005),8.9
Supernatural (2005),8.4
The Fall (2013),8.2
Shameless (2011),8.6
Grey's Anatomy (2005),7.6
Harley Quinn: Birds of Prey (2020),6.1
Breaking Bad (2008),9.5
Perry Mason (2020),7.6
Criminal Minds (2005),8.1
Knives Out (2019),7.9
Unhinged (2020),6.2
The Tax Collector (2020),4.7
Agents of S.H.I.E.L.D. (2013),7.5
Vikings (2013),8.5
The Crown (2016),8.7
Sputnik (2020),6.3
Stranger Things (2016),8.8
The One and Only Ivan (2020),6.7
Kingdom (2014),8.5
Schitt's Creek (2015),8.4
Community (2009),8.5
The Walking Dead (2010),8.2
Fargo (2014),8.9
Friends (1994),8.9
Mulan (2020),
The Old Guard (2020),6.7
Peaky Blinders (2013),8.8
Ava (2020),5.3
Ozark (2017),8.4
Modern Family (2009),8.4
Time Trap (2017),6.3
Sons of Anarchy (2008),8.6
The Peanut Butter Falcon (2019),7.6
The Lost Husband (2020),6.1
Hamilton (2020),8.7
Money Heist (2017),8.4
An Easy Girl (2019),5.6
The New Mutants (2020),5.8
New Girl (2011),7.7
The Sopranos (1999),9.2
The Big Bang Theory (2007),8.1
Inception (2010),8.8
Joker (2019),8.5
Suits (2011),8.5
Euphoria (2019),8.4
Cursed (2020),5.8
Avatar: The Last Airbender (2005),9.2
Brooklyn Nine-Nine (2013),8.4
Gunjan Saxena: The Kargil Girl (2020),5.2
Work It (2020),6.1
The Greatest Showman (2017),7.6
Outlander (2014),8.4
Jojo Rabbit (2019),7.9
Magic Camp (2020),6.3
Jumanji: The Next Level (2019),6.7
The Last Kingdom (2015),8.4
